epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6391,2.612,3.37193,1.95055,0.00643,0.20455,0.00436,0.00112,2.88273,4.08437,2.52486,0.0001,0.0001,0.0901
2,87.1131,2.36588,2.91601,1.83517,0.01481,0.39242,0.01592,0.00455,2.66011,3.57976,2.34501,0.000209977,0.000209977,0.07921
3,124.938,2.2664,2.59959,1.76708,0.02315,0.73182,0.06367,0.01462,2.56024,3.30462,2.27833,0.000319861,0.000319861,0.0683199
4,162.652,2.29996,2.58276,1.83527,0.02393,0.70758,0.08811,0.02288,2.50064,3.11082,2.23606,0.00042958,0.00042958,0.0574296
5,200.971,2.22812,2.52248,1.78314,0.02041,0.68333,0.08,0.01754,2.49555,2.99396,2.29604,0.000539063,0.000539063,0.0465391
6,238.698,2.23426,2.50817,1.8234,0.02817,0.12879,0.04906,0.01286,2.52716,2.90265,2.48193,0.000648237,0.000648237,0.0356482
7,277.582,2.1742,2.4281,1.7554,0.11756,0.23485,0.08704,0.02369,2.4822,2.81413,2.45681,0.000757034,0.000757034,0.024757
8,316.42,2.1955,2.45204,1.82707,0.0834,0.20758,0.06967,0.01812,2.5091,2.84989,2.52257,0.00086538,0.00086538,0.0138654
9,352.506,2.19695,2.46668,1.83025,0.07702,0.22727,0.07292,0.01736,2.43822,2.78738,2.33843,0.000973207,0.000973207,0.00297321
10,389.15,2.16681,2.40268,1.75768,0.07212,0.2,0.057,0.01455,2.49467,2.86392,2.30068,0.000991232,0.000991232,0.000991232
11,425.659,2.13979,2.35942,1.72979,0.09416,0.21515,0.07662,0.02203,2.47282,3.06588,2.3172,0.000989183,0.000989183,0.000989183
12,461.797,2.14152,2.32477,1.73452,0.13615,0.27273,0.11158,0.03463,2.44338,2.92953,2.31421,0.000986922,0.000986922,0.000986922
13,497.582,2.12064,2.35775,1.72495,0.06723,0.34242,0.07142,0.02177,2.48836,2.8549,2.29815,0.000984449,0.000984449,0.000984449
14,533.772,2.06154,2.34101,1.71047,0.06467,0.21866,0.07354,0.02245,2.44963,2.88311,2.17259,0.000981765,0.000981765,0.000981765
15,570.387,2.06345,2.29534,1.66302,0.13826,0.24545,0.10709,0.03196,2.46545,2.74174,2.23682,0.000978873,0.000978873,0.000978873
16,607.009,2.11752,2.26377,1.73903,0.11559,0.22121,0.10421,0.02876,2.54482,2.64754,2.31599,0.000975773,0.000975773,0.000975773
17,645.839,2.07505,2.24553,1.68619,0.06986,0.15455,0.08039,0.02511,2.43015,2.71035,2.22487,0.000972466,0.000972466,0.000972466
18,684.196,2.10383,2.24783,1.70078,0.12441,0.14848,0.07222,0.01894,2.49326,2.73872,2.24317,0.000968955,0.000968955,0.000968955
19,723.786,2.0817,2.22576,1.76435,0.148,0.25305,0.08678,0.02378,2.61062,2.69126,2.34489,0.000965239,0.000965239,0.000965239
20,760.513,2.10303,2.23249,1.75003,0.13203,0.21061,0.09609,0.02845,2.52854,2.62442,2.29049,0.000961322,0.000961322,0.000961322
21,796.851,2.05051,2.1932,1.64915,0.13468,0.19545,0.10622,0.034,2.48129,2.63299,2.25297,0.000957205,0.000957205,0.000957205
22,833.179,2.0385,2.22089,1.67793,0.09857,0.15606,0.08446,0.02638,2.53627,2.66881,2.26969,0.000952889,0.000952889,0.000952889
23,869.601,1.99941,2.17025,1.65318,0.12502,0.17424,0.09046,0.0297,2.5379,2.69667,2.24598,0.000948377,0.000948377,0.000948377
24,908.274,2.02166,2.17967,1.68243,0.12939,0.19545,0.08667,0.02374,2.48091,2.71914,2.20566,0.000943671,0.000943671,0.000943671
25,945.767,1.97392,2.15394,1.66443,0.12798,0.19394,0.09648,0.02908,2.5233,2.7186,2.25508,0.000938772,0.000938772,0.000938772
26,981.581,1.98054,2.12136,1.62614,0.16638,0.21818,0.13418,0.03396,2.55275,2.64021,2.28678,0.000933683,0.000933683,0.000933683
27,1017.45,1.95337,2.08944,1.62041,0.15794,0.25909,0.13847,0.03589,2.5543,2.58825,2.339,0.000928405,0.000928405,0.000928405
28,1053.1,1.96354,2.0748,1.62979,0.13804,0.2803,0.13562,0.03382,2.58548,2.55745,2.28191,0.000922942,0.000922942,0.000922942
29,1089.83,1.96127,2.0955,1.61755,0.12505,0.26154,0.09868,0.02503,2.64495,2.57647,2.25867,0.000917296,0.000917296,0.000917296
30,1127.59,1.95701,2.12452,1.64011,0.11894,0.21061,0.09987,0.02364,2.67682,2.60844,2.28275,0.000911469,0.000911469,0.000911469
31,1166.19,1.99792,2.0927,1.6714,0.11327,0.27273,0.1142,0.02852,2.67611,2.54942,2.31668,0.000905463,0.000905463,0.000905463
32,1204.49,1.90765,2.00772,1.57079,0.12546,0.17879,0.10459,0.02517,2.63885,2.65636,2.36316,0.000899282,0.000899282,0.000899282
33,1243.82,1.93164,2.04141,1.61375,0.12298,0.21667,0.10288,0.0227,2.66633,2.6122,2.3534,0.000892928,0.000892928,0.000892928
34,1281.37,1.85978,1.96904,1.56596,0.12582,0.21212,0.10368,0.02689,2.6165,2.55259,2.22985,0.000886404,0.000886404,0.000886404
35,1319.2,1.86191,1.92173,1.52186,0.17427,0.17121,0.12509,0.02931,2.60337,2.59032,2.2561,0.000879713,0.000879713,0.000879713
36,1356.89,1.89003,1.93105,1.54852,0.17312,0.16364,0.0967,0.02261,2.57563,2.73057,2.23445,0.000872857,0.000872857,0.000872857
37,1394.76,1.92042,2.00064,1.5697,0.1512,0.18485,0.10816,0.02826,2.57618,2.69652,2.19817,0.000865839,0.000865839,0.000865839
